TIME     p_N      p_E       h           u
----    -----    -----   -------     ------
 0        0.0     0.0     150.0       25.0
 1       25.0     0.0     150.0       25.0
 2       50.0     0.0     150.0       25.0
 3       75.0     0.0     150.0       25.0
 4      100.0     0.0     150.0       25.0
 5      125.0     0.0     150.0       25.0
 6      137.5    12.5     150.0       25.0
 7      150.0    25.0     150.0       25.0
 8      162.5    37.5     150.0       25.0
 9      175.0    50.0     150.0       25.0
10      187.5    62.5     150.0       25.0
